analysis_id_managed,run_id
7df7d35e-0681-4187-9e1c-6dd1418d6954,run_254911712_autolaunch_f27a40_9e528f-BclConvert_v4_1_5-aeafa4da-aa12-4700-981e-5f4853da6e67
a96e7a5a-a961-4c10-9165-51ce2fe2bbcf,run_254911712_autolaunch_vanilla_575490_8b53bc-BclConvert_v4_1_5-f506a4ee-98ad-400e-8f5e-5a3a3a38d0f9
e267561e-7639-4401-9cca-38409bc86454,UploadedRun_autolaunch_test_20231006_d85810_86169d-BclConvert_v4_1_5-d1b5486b-8d49-44b4-b71a-8698ab3772d5
2f3f186c-6e18-46ea-8839-64c64e2b1cc3,Unknown
6759d8b4-cf44-4b95-8d44-c5d9958f401c,Ken_test_NextSeq2k_run_6ba08c_76d282-BclConvert_v4_2_7-52da527f-a38a-4d91-8b7f-5e5c3fce5e8a
a36c6c1e-e856-4670-8b97-6a21d612e585,240308_VH00154_526_2222NMTNX_306042_743795-BclConvert_v4_2_7-df661c2e-f7a6-4893-a284-f4fe292a9cbc
732d35a3-bcb2-420c-93c0-ab48b7eac41a,TotalRNA_P4_2_277246003_e9cdbe_40eb82-732d35a3-bcb2-420c-93c0-ab48b7eac41a
d93b614c-eace-4223-bc85-d45cbb35445c,TotalRNA_P4_2_20250611_v2_d8de6f_ecac5b-d93b614c-eace-4223-bc85-d45cbb35445c
f48b65d9-febd-4bc6-b60c-2548617bfa71,TotalRNA_P4_2_20250612_796ec7_736739-f48b65d9-febd-4bc6-b60c-2548617bfa7192c913d7-2d11-45f6-8b30-fb09d2064736,20250425_LH00400_0021_A22N52NLT4_e09abf_7387d2-92c913d7-2d11-45f6-8b30-fb09d2064736e54ef9ed-a4f0-462a-9fcf-abe43c9ac8ed,20250523_LH00400_0023_A22HF7WLT3_aa09ae_a0bd01-e54ef9ed-a4f0-462a-9fcf-abe43c9ac8ed
